"Group.1","Group.2","Group.3","Group.4","x"
"../scenariosimul/spambase.data",4,"xgboost","accuracy",0.9016
"../scenariosimul/cleankdd_train.csv",7,"xgboost","accuracy",0.9272
"../scenariosimul/connect-4Train.csv",7,"xgboost","accuracy",0.5968
"../scenariosimul/covtype.data",7,"xgboost","accuracy",0.636
"../scenariosimul/HIGGS.csv",7,"xgboost","accuracy",0.6072
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",7,"xgboost","accuracy",0.572
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",7,"xgboost","accuracy",0.7328
"../scenariosimul/spambase.data",7,"xgboost","accuracy",0.9016
"../scenariosimul/cleankdd_train.csv",11,"xgboost","accuracy",0.9272
"../scenariosimul/connect-4Train.csv",11,"xgboost","accuracy",0.5968
"../scenariosimul/covtype.data",11,"xgboost","accuracy",0.636
"../scenariosimul/HIGGS.csv",11,"xgboost","accuracy",0.6072
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",11,"xgboost","accuracy",0.572
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",11,"xgboost","accuracy",0.7328
"../scenariosimul/spambase.data",11,"xgboost","accuracy",0.9016
"../scenariosimul/cleankdd_train.csv",15,"xgboost","accuracy",0.9272
"../scenariosimul/connect-4Train.csv",15,"xgboost","accuracy",0.5968
"../scenariosimul/covtype.data",15,"xgboost","accuracy",0.636
"../scenariosimul/HIGGS.csv",15,"xgboost","accuracy",0.6072
"../scenariosimul/scenariosimulC2D5G3STDEV0.05.csv",15,"xgboost","accuracy",0.572
"../scenariosimul/scenariosimulC8D3G3STDEV0.05.csv",15,"xgboost","accuracy",0.7328
"../scenariosimul/spambase.data",15,"xgboost","accuracy",0.9016
"../scenariosimul/cleankdd_train.csv",2,"forest","precision",0.956563661548738
"../scenariosimul/connect-4Train.csv",2,"forest","precision",0.582229235896413
"../scenariosimul/covtype.data",2,"forest","precision",0.653296533640633
"../scenariosimul/HIGGS.csv",2,"forest","precision",0.625410335825676
