"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"kdd",2,"lda","precision",0.881448392013732,0.807864387075517,0.881448392013732,0.807864387075517,0.881448392013732,0.866775151190152,0.807864387075517,0.884079709912153,0.807864387075517,0.866775151190152,0.891120613164438,0.807864387075517,0.891120613164438,0.807864387075517,0.891120613164438,0.602821583687727
"simulC2",2,"lda","precision",0.520621126725664,0.520621126725664,0.507010771098339,0.520621126725664,0.520621126725664,0.517854177293671,0.520621126725664,0.514111231927832,0.525324319714773,0.506376126088889,0.529827420747054,0.520621126725664,0.531885245890442,0.499630685408569,0.536394532012383,0.527645659797198
"simulC8",2,"lda","precision",0.3579215440323,0.361847567139963,0.339105514362181,0.316649703251054,0.377291629997424,0.357366460401682,0.361847567139963,0.34205068218194,0.32874834649136,0.374061880514034,0.368135026114988,0.361847567139963,0.362873044627436,0.277339528293801,0.375878622329188,0.341463794727898
"spambase",2,"lda","precision",0.856403684924067,0.85590117816794,0.809176516710122,0.85590117816794,0.856403684924067,0.848992807701357,0.85590117816794,0.83850153675896,0.856364715852916,0.843582226883094,0.851763041609151,0.85590117816794,0.839640494845957,0.853586396690377,0.847417382557531,0.883362727988892
"connect4",4,"lda","precision",0.45979595941321,0.448085370759472,0.457429505726154,0.458243799726006,0.437877950874257,0.476461625639472,0.448085370759472,0.470444773606732,0.457924604897406,0.458331785503027,0.482186690594243,0.448085370759472,0.48534367182772,0.461782730410378,0.456286661408628,0.923807149716813
"covtype",4,"lda","precision",0.451447457819663,0.42632525116985,0.451258751361122,0.434782932691755,0.421526453425542,0.469300310058023,0.431277632122231,0.446440365160697,0.434782932691755,0.451629672649049,0.451447457819663,0.430809691151608,0.451258751361122,0.434782932691755,0.421526453425542,0.515359027849874
"HIGGS",4,"lda","precision",0.576654345958455,0.566364278394061,0.596276031839147,0.569912634729895,0.569912634729895,0.581185987061562,0.566364278394061,0.562171322965761,0.568613906585939,0.565719496190084,0.570511459719053,0.566364278394061,0.575806605788395,0.570255344878849,0.54374367966038,0.614894368260213
"kdd",4,"lda","precision",0.909053037477432,0.850927331860382,0.897595628627932,0.848845336810554,0.878773489738089,0.820669141986155,0.850927331860382,0.864869880360211,0.848004372955132,0.814481797984277,0.893523673210578,0.850927331860382,0.890610667276313,0.848639285891658,0.864250537005024,0.602821583687727
"simulC2",4,"lda","precision",0.521275504937974,0.517926297197263,0.498489914969278,0.508493808141132,0.508493808141132,0.509210092663096,0.517926297197263,0.499697992146889,0.538824363787421,0.484852441639358,0.530734252852268,0.517926297197263,0.525546408596373,0.473552683456253,0.52516141952094,0.527645659797198
"simulC8",4,"lda","precision",0.352350728939585,0.296919515617125,0.346302890373697,0.287695789886766,0.356794049766194,0.343888765489522,0.296919515617125,0.349330884390177,0.300380489324995,0.343158811644119,0.390634193015715,0.296919515617125,0.412986235121582,0.256903977352981,0.399614225602541,0.341463794727898
