"DATASET","P","CLASSIFIER","STAT","BASE.SUM","BASE.PROD","BASE.MAJ","BASE.MIN","BASE.MAX","DIST.SUM","DIST.PROD","DIST.MAJ","DIST.MIN","DIST.MAX","REV.SUM","REV.PROD","REV.MAJ","REV.MIN","REV.MAX","GLOBAL"
"covtype",4,"multinom","recall",0.638023105110175,0.583700445935392,0.623550058685076,0.568753001389772,0.56392475150678,0.599814002222858,0.583480665715612,0.628943026890278,0.569158780139628,0.513198890631899,0.638023105110175,0.583010947396882,0.623550058685076,0.568753001389772,0.56392475150678,0.584295258813353
"HIGGS",4,"multinom","recall",0.551969228940674,0.536406983258419,0.546045115981929,0.537206983258419,0.537206983258419,0.554376762137551,0.536406983258419,0.603710798656468,0.537206983258419,0.542007760570882,0.558141788544812,0.536406983258419,0.566444743518975,0.537206983258419,0.557983520799965,0.627199989169146
"kdd",4,"multinom","recall",0.935002136493183,0.92398196656989,0.932738007138699,0.922759969617175,0.957187975190511,0.931693146961635,0.92398196656989,0.923339161669001,0.923369867646641,0.931087452425756,0.933945588305239,0.92398196656989,0.934016898549763,0.922759969617175,0.919911602849738,0.596581353784836
"simulC2",4,"multinom","recall",0.539932309458908,0.536971771919193,0.535664802956385,0.526130939206832,0.526130939206832,0.537396347819736,0.536971771919193,0.467879499347074,0.53800612624019,0.506094385774822,0.539992600238208,0.536971771919193,0.52379814998937,0.496540907923876,0.528626428667385,0.492254744525547
"simulC8",4,"multinom","recall",0.372044564128811,0.347640511505142,0.377770262058706,0.326567672034397,0.376554383227809,0.371547673811651,0.347640511505142,0.380354431861179,0.337502671155419,0.364041346473102,0.42926712633212,0.347640511505142,0.431843978481282,0.286390739148279,0.435685897896593,0.369219271630277
"spambase",4,"multinom","recall",0.88545531728134,0.841431881284043,0.887136158718817,0.841431881284043,0.841431881284043,0.835551812121868,0.841431881284043,0.794801616719425,0.841431881284043,0.796491511581487,0.868220227023387,0.841431881284043,0.864889086007725,0.841431881284043,0.835958058498049,0.850809066604361
"connect4",7,"multinom","recall",0.606158815344829,0.547150089896341,0.570053040061513,0.505411590931217,0.429509627076325,0.601977379733863,0.547150089896341,0.588553534508409,0.504878257597884,0.430693194530075,0.578879772332366,0.547150089896341,0.579126646815296,0.50514492426455,0.506122638568916,0.927374247294127
"covtype",7,"multinom","recall",0.602075209259609,0.591039080919744,0.609519288427077,0.535905994248019,0.568326629878687,0.599852339172672,0.591039080919744,0.586004635669927,0.535718465331591,0.452798403894734,0.602075209259609,0.589991128234752,0.60706770449899,0.535905994248019,0.568416058206367,0.584295258813353
"HIGGS",7,"multinom","recall",0.553359306191761,0.450899949981129,0.552497237226243,0.450899949981129,0.450899949981129,0.553759306191761,0.450899949981129,0.552497237226243,0.450899949981129,0.532350787926384,0.561819485487146,0.450899949981129,0.559794672067622,0.450899949981129,0.540424383276918,0.627199989169146
"kdd",7,"multinom","recall",0.867957951220772,0.863475404629368,0.870748490097004,0.854306384971653,0.8883117098847,0.864718097191979,0.863475404629368,0.855689059569635,0.855523657221216,0.828549908902252,0.868352799010406,0.863475404629368,0.865611459870126,0.855379211537384,0.856005148224346,0.596581353784836
"simulC2",7,"multinom","recall",0.518054038169874,0.523312247341507,0.545056220089129,0.499806922454946,0.499806922454946,0.535139118144545,0.523312247341507,0.556228543342343,0.519287349678142,0.530537979777958,0.583744797635042,0.523312247341507,0.587376313164194,0.484175713973267,0.599792338262503,0.492254744525547
"simulC8",7,"multinom","recall",0.430518458242107,0.393793921251297,0.444898346667556,0.369021273426408,0.365205480552172,0.427676675846053,0.393793921251297,0.44648961804146,0.36718433507045,0.342327072346145,0.544277477686911,0.393793921251297,0.53806153542402,0.351281544579018,0.535188107615267,0.369219271630277
"spambase",7,"multinom","recall",0.852590374132744,0.747286269216352,0.851936779361503,0.747286269216352,0.747286269216352,0.836133111096799,0.747286269216352,0.847109573448308,0.747286269216352,0.79348066860028,0.814761299528541,0.747286269216352,0.814978207203736,0.747286269216352,0.791364268548447,0.850809066604361
"connect4",11,"multinom","recall",0.551105470696736,0.550115678380064,0.533010707989553,0.514451705297131,0.449839623173227,0.54325020723602,0.550115678380064,0.545682681816805,0.515411259316845,0.428078339398647,0.547314187090884,0.550115678380064,0.547645754278963,0.51474932434475,0.47041999695287,0.927374247294127
"covtype",11,"multinom","recall",0.624185252504415,0.591928783798606,0.632087839088419,0.445491336743869,0.572823760966162,0.601810582689147,0.591928783798606,0.610445987909204,0.445488594322456,0.444094722883816,0.624185252504415,0.591056080764809,0.634686962858082,0.445491336743869,0.571801956214222,0.584295258813353
"HIGGS",11,"multinom","recall",0.554052108199825,0.353489893963457,0.547967321312591,0.353489893963457,0.353489893963457,0.54957008736269,0.353489893963457,0.551932623830631,0.353489893963457,0.544737262595521,0.546306333718157,0.353489893963457,0.549923924289567,0.353489893963457,0.52786915001053,0.627199989169146
"kdd",11,"multinom","recall",0.803792691744336,0.802255498322877,0.806195668230545,0.677885531714227,0.627202600909154,0.81413079511188,0.801904609397615,0.807222032052052,0.678838631392953,0.795497616073357,0.8058838270203,0.801462131521508,0.804470772210811,0.677885531714227,0.775294995117806,0.596581353784836
"simulC2",11,"multinom","recall",0.47759551847283,0.475850652429439,0.494396390317944,0.448815652356719,0.448815652356719,0.480225510658749,0.475850652429439,0.496238348359902,0.457755530610437,0.517113248766737,0.562240479316486,0.475850652429439,0.562993702062732,0.443313386670051,0.579606327421869,0.492254744525547
"simulC8",11,"multinom","recall",0.420066459850415,0.162744373820863,0.408558939147111,0.195754581275499,0.241079510024179,0.43077690364165,0.160110588033265,0.419591764707144,0.196010305451622,0.359803157373124,0.517349430279584,0.14859988671078,0.498020682291323,0.195659306450623,0.494105716290675,0.369219271630277
"spambase",11,"multinom","recall",0.871720430107527,0.710774193548387,0.87105376344086,0.710774193548387,0.710774193548387,0.854917562724014,0.710774193548387,0.855820788530466,0.710774193548387,0.766215053763441,0.837770609318996,0.710774193548387,0.829297491039427,0.710774193548387,0.779096774193548,0.850809066604361
"connect4",15,"multinom","recall",0.607668651357969,0.602543364713355,0.592926865067713,0.529750546760593,0.552310899864672,0.602317369417529,0.602543364713355,0.590718021835818,0.529750546760593,0.468626741575254,0.586205826734227,0.602543364713355,0.582214093837265,0.531667300718814,0.48049862493448,0.927374247294127
"covtype",15,"multinom","recall",0.548534599295491,0.51421168328844,0.560517988210232,0.301615643573721,0.460741398995736,0.558049777341055,0.515159352697408,0.547004539529528,0.297316822111204,0.423167567072674,0.548534599295491,0.503378277371099,0.56025373659145,0.301615643573721,0.456813968908336,0.584295258813353
"HIGGS",15,"multinom","recall",0.545621053589983,0.340137755604829,0.549860065661922,0.340137755604829,0.340137755604829,0.543983078397978,0.340137755604829,0.544326596827233,0.340137755604829,0.515677672804396,0.54584574482899,0.340137755604829,0.542786983300663,0.340137755604829,0.538832676714119,0.627199989169146
"kdd",15,"multinom","recall",0.88682113472111,0.79466113626375,0.892358708586235,0.762441830298249,0.841853082527052,0.89582970067677,0.794419783657134,0.856970696891306,0.762441830298249,0.810202013300737,0.847243773313614,0.787465431827052,0.84480994997466,0.761791255755179,0.774087779096719,0.596581353784836
"simulC2",15,"multinom","recall",0.497794910932808,0.549265325510279,0.490356532663321,0.560604775051564,0.560604775051564,0.51155454807319,0.549265325510279,0.479721337632565,0.561004775051564,0.477289422490134,0.590550671987687,0.549265325510279,0.570697899787138,0.564157068629545,0.598155437458154,0.492254744525547
"simulC8",15,"multinom","recall",0.580832532442088,0.208377049026928,0.57795100041206,0.212374534257325,0.368847621632833,0.551474508116732,0.205989800751708,0.576388612051318,0.212374534257325,0.379222455409472,0.659580644076151,0.204534078643293,0.651334677077999,0.212374534257325,0.611766982885887,0.369219271630277
"spambase",15,"multinom","recall",0.83878827529207,0.618647528941646,0.840139639614023,0.616922038745568,0.616922038745568,0.837769304383156,0.618647528941646,0.831472532527561,0.616922038745568,0.737239946960061,0.79791261679497,0.618647528941646,0.801578908125398,0.616922038745568,0.745909929728716,0.850809066604361
"connect4",2,"svm","recall",0.65493867633443,0.654371709367463,0.660645182840937,0.654371709367463,0.65493867633443,0.65493867633443,0.654371709367463,0.655505643301397,0.654371709367463,0.655505643301397,0.656431569227323,0.654371709367463,0.658075413071167,0.653804742400496,0.657357495153249,0.90217323423186
"covtype",2,"svm","recall",0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.468553825446515,0.621150452237879
"HIGGS",2,"svm","recall",0.451404138234647,0.451404138234647,0.51637760916385,0.451404138234647,0.451404138234647,0.440551647222834,0.451404138234647,0.503204227145404,0.47476664465478,0.417422284661168,0.447488986719495,0.451404138234647,0.445685834272076,0.459043548143448,0.439441561031192,0.589976618366268
"kdd",2,"svm","recall",0.883007212001878,0.88584145038609,0.912344821996754,0.884854748053335,0.874502540074671,0.863216837256321,0.88584145038609,0.873132355805399,0.889344588768664,0.847474551139076,0.885824759929089,0.88584145038609,0.862434717175126,0.877618173810189,0.8835305268601,0.57143639339384
"simulC2",2,"svm","recall",0.607046633436618,0.607046633436618,0.567616854335794,0.607046633436618,0.607046633436618,0.603019614929567,0.607046633436618,0.554828533167911,0.617210473872931,0.556612491170655,0.597159035787149,0.607046633436618,0.566952720108602,0.563941482497173,0.572672755127462,0.584376798748697
"simulC8",2,"svm","recall",0.688248434556949,0.682217203449741,0.619824800765238,0.673246003555041,0.68623073895679,0.6737049452836,0.682217203449741,0.677062554771474,0.650322225148356,0.675453927540733,0.679990264962701,0.682217203449741,0.673316146527308,0.607800984770064,0.680883810295518,0.761308585007244
"spambase",2,"svm","recall",0.744009746719146,0.744009746719146,0.788218551709652,0.744009746719146,0.744009746719146,0.747086021341608,0.744009746719146,0.744111743070081,0.730072039553468,0.744060078312913,0.730492260897598,0.744009746719146,0.74074421607545,0.740725755367249,0.738009330868189,0.721509477591074
"connect4",4,"svm","recall",0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.644203320953979,0.643210299355998,0.90217323423186
"covtype",4,"svm","recall",0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.582317615506964,0.621150452237879
"HIGGS",4,"svm","recall",0.480548837209302,0.480524031007752,0.462895859452905,0.47762737212388,0.47762737212388,0.473072868217054,0.480524031007752,0.489088133571855,0.49464496124031,0.418280541298527,0.481243358738844,0.480524031007752,0.483062426735751,0.492482663567263,0.457466719765143,0.589976618366268
"kdd",4,"svm","recall",0.830634485765643,0.848270750560871,0.85770565374085,0.860754892726048,0.832876513062047,0.78573541238129,0.848270750560871,0.803483373697584,0.849724907470066,0.759805678852355,0.846105658379426,0.848270750560871,0.840160617897436,0.838360203595532,0.848288193533177,0.57143639339384
"simulC2",4,"svm","recall",0.51386901627815,0.51663151627815,0.513994438249328,0.509187648813094,0.509187648813094,0.529852779364995,0.51663151627815,0.457047779588011,0.544440796185495,0.550314908479257,0.503630704295025,0.51663151627815,0.484331853492712,0.522698205074366,0.461339317501987,0.584376798748697
"simulC8",4,"svm","recall",0.635088496968845,0.628238659920724,0.616938149015213,0.554770464994799,0.674971037659493,0.623882912298384,0.628238659920724,0.597279436472521,0.557314352582528,0.612691648140988,0.674805261144073,0.628238659920724,0.639533654814825,0.488380181272731,0.654586728811911,0.761308585007244
"spambase",4,"svm","recall",0.707261613673884,0.705104984759827,0.697031699346405,0.740601631507459,0.740601631507459,0.704121294490772,0.705104984759827,0.684552184382525,0.643009360083949,0.657900413667577,0.767387201938983,0.705104984759827,0.708744576498887,0.612722552160691,0.76279413123235,0.721509477591074
"connect4",7,"svm","recall",0.675408106703832,0.675408106703832,0.675408106703832,0.672400129495855,0.672400129495855,0.675408106703832,0.675408106703832,0.675408106703832,0.672400129495855,0.67297543813783,0.675408106703832,0.675408106703832,0.674405447634506,0.673402788565181,0.669112760075152,0.90217323423186
"covtype",7,"svm","recall",0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.43570340883497,0.621150452237879
"HIGGS",7,"svm","recall",0.479995352329187,0.486676493369609,0.481084825288242,0.495874872320251,0.495874872320251,0.48932396890514,0.486676493369609,0.481084825288242,0.504059276741397,0.468264235104931,0.489951087768971,0.486676493369609,0.483905575418763,0.485551031230179,0.522637635202263,0.589976618366268
"kdd",7,"svm","recall",0.537440524837126,0.560102113054352,0.530314027683481,0.672815074903307,0.470774077625489,0.52042642861809,0.560102113054352,0.548732449000687,0.623308156350292,0.527486788985085,0.624490461933239,0.560102113054352,0.625461260021809,0.622415710628971,0.653799928491375,0.57143639339384
"simulC2",7,"svm","recall",0.59602053916071,0.593162559788413,0.564493287017434,0.581721554786449,0.581721554786449,0.582821484858544,0.593162559788413,0.57184713317128,0.61004267282346,0.567129115854766,0.547816993503581,0.593162559788413,0.526252180853086,0.544658602220081,0.525898187473106,0.584376798748697
"simulC8",7,"svm","recall",0.351488929866366,0.324728218469635,0.347710629878031,0.236377759027495,0.425576020004498,0.350223895365975,0.324728218469635,0.320427124288904,0.224853400210384,0.367101897916802,0.375718347242731,0.324728218469635,0.334249194434669,0.2195222867595,0.370487765745293,0.761308585007244
"spambase",7,"svm","recall",0.553622296972182,0.554218580750802,0.570209572000843,0.525307702976831,0.525307702976831,0.541192617285737,0.554218580750802,0.570209572000843,0.517665680406386,0.476286005116036,0.58428930926001,0.554218580750802,0.603241466125035,0.55855531846214,0.599005831598908,0.721509477591074
"connect4",11,"svm","recall",0.590037933473178,0.590037933473178,0.590037933473178,0.571246695710263,0.584669997057553,0.590037933473178,0.590037933473178,0.590037933473178,0.57271900204688,0.584669997057553,0.590037933473178,0.590037933473178,0.590037933473178,0.575797418554581,0.58396749759721,0.90217323423186
"covtype",11,"svm","recall",0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.467365819996535,0.621150452237879
"HIGGS",11,"svm","recall",0.600416678221015,0.600697397217997,0.633931611461118,0.543270578638027,0.543270578638027,0.596385053309466,0.600697397217997,0.63286047052152,0.532879207267405,0.613155989960468,0.598546296172704,0.600697397217997,0.620913304393504,0.553207075119663,0.557513579804796,0.589976618366268
"kdd",11,"svm","recall",0.532190541356412,0.535416557616574,0.535416557616574,0.548163877949077,0.53057753322633,0.531384037291371,0.535416557616574,0.532483732583783,0.541465448196977,0.566860002200721,0.573566206839771,0.535416557616574,0.587619231174854,0.5437057448714,0.610048788740354,0.57143639339384
"simulC2",11,"svm","recall",0.398353276162295,0.403792106324381,0.368709940938245,0.467665073969328,0.467665073969328,0.397542342135082,0.403792106324381,0.36707687957722,0.424035605234244,0.397930285974188,0.408490631036575,0.403792106324381,0.39457941181526,0.482290176471288,0.407901837036097,0.584376798748697
"simulC8",11,"svm","recall",0.0165017128501728,0.0189257266313748,0.0440104482135607,0.0293562895866571,0.145715599083238,0.0267711545362026,0.0189257266313748,0.0555679058894306,0.0335260467641958,0.0756728360130945,0.0552097886452783,0.0189257266313748,0.0641089033964846,0.090739151478649,0.0669370425200586,0.761308585007244
"spambase",11,"svm","recall",0.583670250896057,0.549799283154122,0.617247311827957,0.499784946236559,0.499784946236559,0.572351254480287,0.549799283154122,0.621247311827957,0.541978494623656,0.541820788530466,0.561878136200717,0.549799283154122,0.583455197132617,0.578179211469534,0.566114695340502,0.721509477591074
"connect4",15,"svm","recall",0.587219621316461,0.587219621316461,0.587219621316461,0.589010097506937,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.588015545156632,0.587219621316461,0.587219621316461,0.587219621316461,0.587219621316461,0.58874343084027,0.587886818017219,0.90217323423186
"covtype",15,"svm","recall",0.59552905440334,0.59552905440334,0.539417350462391,0.59552905440334,0.59552905440334,0.59552905440334,0.59552905440334,0.539417350462391,0.539417350462391,0.539417350462391,0.59552905440334,0.59552905440334,0.539417350462391,0.59552905440334,0.59552905440334,0.621150452237879
"HIGGS",15,"svm","recall",0.424613484259349,0.418433304412095,0.448868482813287,0.419796303972921,0.419796303972921,0.427101116681127,0.418433304412095,0.454546531593775,0.413093261351586,0.438455718371413,0.4403166832696,0.418433304412095,0.440678658268796,0.435209289073128,0.464359381192626,0.589976618366268
"kdd",15,"svm","recall",0.424924597636725,0.424924597636725,0.424924597636725,0.422245218115914,0.424924597636725,0.424924597636725,0.424924597636725,0.424924597636725,0.425532788103395,0.424924597636725,0.433698709872446,0.424924597636725,0.444294107772475,0.424924597636725,0.457840968104266,0.57143639339384
"simulC2",15,"svm","recall",0.529798353293284,0.533468157337194,0.522541069348636,0.526052124861834,0.526052124861834,0.509555206230511,0.533468157337194,0.521113216941591,0.568658354366273,0.500930046810528,0.480050632483588,0.533468157337194,0.489025359137931,0.526997506684503,0.468523172621154,0.584376798748697
"simulC8",15,"svm","recall",0.0031171043978299,0.00450035539192558,0.0329131423963908,0.00459556573081094,0.0360909820828869,0.00277129164930598,0.00450035539192558,0.0278508885818959,0.00658895414188612,0.0894600291352899,0.00974101247137009,0.00450035539192558,0.0301248223452755,0.0248820184238838,0.0300475281599732,0.761308585007244
"spambase",15,"svm","recall",0.536356643356643,0.53305019174374,0.544494505494506,0.472087200907884,0.472087200907884,0.535983516483516,0.53305019174374,0.545571859513036,0.430260451123828,0.531872190112228,0.509466783058813,0.53305019174374,0.512942855373596,0.481852047067417,0.496707292391353,0.721509477591074
"connect4",2,"xgboost","recall",0.642725131855983,0.639021802037768,0.579134596478243,0.638878614491992,0.637628857765365,0.645200248701977,0.639021802037768,0.58508417461765,0.636145202440921,0.644006265728773,0.644050173275171,0.639021802037768,0.612977241750866,0.635777958329591,0.631358952004136,0.932939370804819
"covtype",2,"xgboost","recall",0.678251484677286,0.677412981482978,0.651621781467899,0.682691178881718,0.673750173245443,0.667205616584101,0.677412981482978,0.643042203380722,0.686475087720227,0.657744493057319,0.678251484677286,0.677412981482978,0.649329658646839,0.682691178881718,0.673750173245443,0.627832918358991
"HIGGS",2,"xgboost","recall",0.595833286288321,0.595833286288321,0.631298291273366,0.595833286288321,0.595833286288321,0.586385794995964,0.595833286288321,0.573149789592262,0.594223219518932,0.58043239545433,0.585534161152905,0.595833286288321,0.55692053104755,0.595532377758499,0.571669922699434,0.679590202980701
"kdd",2,"xgboost","recall",0.954299495773245,0.952105853175897,0.952921949679075,0.951090248909499,0.954293119117735,0.944891495620997,0.952105853175897,0.9474768098271,0.949372203327681,0.948140063839914,0.954953494826615,0.952105853175897,0.93070324698121,0.948909409614347,0.9537344666444,0.616802625871872
"simulC2",2,"xgboost","recall",0.529001135735542,0.529001135735542,0.568147137165653,0.529001135735542,0.529001135735542,0.544386820450652,0.529001135735542,0.510062465632806,0.535303630676093,0.557046444765896,0.555839955530066,0.529001135735542,0.574352447590755,0.534700904083708,0.568477035628223,0.556568997653806
"simulC8",2,"xgboost","recall",0.636783431293718,0.616775130675001,0.53312319500665,0.608970925180158,0.634905851572307,0.623129330926704,0.616775130675001,0.585167335822685,0.598876056104108,0.606730418447107,0.647545842657321,0.616775130675001,0.639998765894953,0.551866862211007,0.651176660320682,0.709704510860722
"spambase",2,"xgboost","recall",0.913104024728498,0.913104024728498,0.920124386390436,0.913104024728498,0.913104024728498,0.911517096623922,0.913104024728498,0.898893879529855,0.908695015719489,0.908685055639071,0.918367410435982,0.913104024728498,0.908508517417525,0.913001854993084,0.910086189690926,0.89837016075594
"connect4",4,"xgboost","recall",0.621123440886213,0.614397119697873,0.583749503379893,0.609596724731068,0.619698679002501,0.615525365863342,0.614397119697873,0.588113825046195,0.61797366304395,0.601375034819783,0.611045677577692,0.614397119697873,0.602474831124953,0.605111927428782,0.586533201553202,0.932939370804819
"covtype",4,"xgboost","recall",0.700464820434288,0.70433243977669,0.665788965666813,0.702080163364497,0.703192614112175,0.693276800194029,0.70433243977669,0.676061526948991,0.70090195695884,0.655631646425904,0.700464820434288,0.70433243977669,0.665788965666813,0.702080163364497,0.703192614112175,0.627832918358991
"HIGGS",4,"xgboost","recall",0.534847314364342,0.535380047403577,0.526124215973305,0.531387469902439,0.531387469902439,0.540144799720723,0.535380047403577,0.59907901199208,0.523676194062975,0.533529345303699,0.543877740828623,0.535380047403577,0.543224312667037,0.53803792739768,0.551526102428543,0.679590202980701
"kdd",4,"xgboost","recall",0.963828560514092,0.96170930426395,0.967399921597882,0.946041061161667,0.944990721996446,0.958725153914403,0.96170930426395,0.93587393121533,0.95408088090583,0.946656351260772,0.96686695474501,0.96170930426395,0.959919053484363,0.949966000300468,0.949936708239834,0.616802625871872
"simulC2",4,"xgboost","recall",0.572044243570449,0.557515627741821,0.55304039490458,0.542481589532762,0.542481589532762,0.560017425366462,0.557515627741821,0.495029241396092,0.540334791805176,0.514145222877107,0.578697939541692,0.557515627741821,0.56860170519649,0.510612593825287,0.574533957687804,0.556568997653806
"simulC8",4,"xgboost","recall",0.622306212070121,0.603741126330232,0.620902838740757,0.532941045975907,0.600553930936837,0.608228158112964,0.603741126330232,0.589066003626913,0.524525279093763,0.571316058132822,0.642813157839454,0.603741126330232,0.620706783830764,0.452101870233189,0.63441956179881,0.709704510860722
"spambase",4,"xgboost","recall",0.90731644796398,0.908299392667511,0.910230046115585,0.905142798106675,0.905142798106675,0.909061833851993,0.908299392667511,0.851530499323611,0.906520644850891,0.893515193462623,0.899071658433689,0.908299392667511,0.892952917476722,0.900394097240586,0.896988443127726,0.89837016075594
"connect4",7,"xgboost","recall",0.67975495722717,0.677802345332213,0.679686593395703,0.66425497803679,0.664107486541475,0.67975495722717,0.677802345332213,0.682086794962564,0.664500326925854,0.667816639382854,0.674994073195527,0.677802345332213,0.674080982920147,0.665969252737951,0.620271946542373,0.932939370804819
"covtype",7,"xgboost","recall",0.662537585135761,0.665696635688327,0.651926266073424,0.629542256802934,0.642649598553244,0.664454899701961,0.665696635688327,0.621555568333383,0.635385344078998,0.628220130458484,0.662537585135761,0.665696635688327,0.652665045050454,0.629542256802934,0.642649598553244,0.627832918358991
"HIGGS",7,"xgboost","recall",0.573642595165023,0.587975468265696,0.562076620520383,0.592247392400379,0.592247392400379,0.566810710238442,0.587975468265696,0.562076620520383,0.591969453330401,0.557722400974691,0.568480691215033,0.587975468265696,0.560745598413174,0.586612478441202,0.5483457796916,0.679590202980701
"kdd",7,"xgboost","recall",0.903432252524479,0.904177372522979,0.891834840011697,0.900819871639208,0.906686516070861,0.910674516891547,0.904177372522979,0.894610397949911,0.89069862942992,0.888266817156058,0.90624389625622,0.904177372522979,0.8796915166672,0.902045709057772,0.893487767414571,0.616802625871872
"simulC2",7,"xgboost","recall",0.556141815453137,0.547272291913929,0.561620701240001,0.532300290493531,0.532300290493531,0.568075607622218,0.547272291913929,0.552491745642753,0.532254697483957,0.556129631757344,0.614203398287658,0.547272291913929,0.615648866219057,0.501259960725364,0.62200516371122,0.556568997653806
"simulC8",7,"xgboost","recall",0.494722512073359,0.466199896704315,0.485800513897147,0.254739923463318,0.467229434153952,0.51339440784737,0.466199896704315,0.483877916724157,0.250918499390272,0.493877194393477,0.626296883128649,0.466199896704315,0.605735006957693,0.18560036227854,0.608232892969307,0.709704510860722
"spambase",7,"xgboost","recall",0.864694108303732,0.860358624432764,0.869976037362178,0.856911596337823,0.856911596337823,0.854063726514112,0.860358624432764,0.86074082384311,0.845636195234637,0.832323852042788,0.856122463182259,0.860358624432764,0.845131619698244,0.850151615786463,0.831472101547748,0.89837016075594
"connect4",11,"xgboost","recall",0.590037933473178,0.590037933473178,0.587969906498009,0.587320422240138,0.585002112603903,0.590037933473178,0.590037933473178,0.588534192212294,0.587320422240138,0.589918769999559,0.585233304307339,0.590037933473178,0.588924246712124,0.586525929100141,0.562565040392564,0.932939370804819
"covtype",11,"xgboost","recall",0.66095102899579,0.660018995467133,0.655422292989589,0.627441691930044,0.65840955866422,0.655768279504536,0.660018995467133,0.658081989544332,0.600093687358487,0.62650857969374,0.66095102899579,0.660018995467133,0.651761640638532,0.627441691930044,0.65840955866422,0.627832918358991
"HIGGS",11,"xgboost","recall",0.629774446375495,0.625833705634754,0.608283130597174,0.589536215596121,0.589536215596121,0.618286224750976,0.625833705634754,0.608683130597174,0.597797667088748,0.573696296875069,0.619251071606273,0.625833705634754,0.602700600072503,0.577441679624237,0.573979362492976,0.679590202980701
"kdd",11,"xgboost","recall",0.848809290515206,0.841401728496307,0.888793333838577,0.839653737402519,0.843082237341848,0.884519039754027,0.841401728496307,0.85914056718832,0.814942551161158,0.850477232750805,0.895543328310801,0.841401728496307,0.886613562027583,0.840226308310371,0.890583219451523,0.616802625871872
"simulC2",11,"xgboost","recall",0.512859504949579,0.519067986598389,0.51021921087043,0.54974982196854,0.54974982196854,0.516239864899706,0.519067986598389,0.508385651047761,0.525265613815188,0.532657544157487,0.594439890814423,0.519067986598389,0.602317617379784,0.460475321520982,0.597139636955973,0.556568997653806
"simulC8",11,"xgboost","recall",0.361249116307058,0.309044793515091,0.359269543999318,0.216074600085086,0.391776818736969,0.365121278113729,0.309044793515091,0.378541649636644,0.228847356001392,0.370031996463999,0.574420053990247,0.309044793515091,0.544526619767116,0.186716331529951,0.520598690298747,0.709704510860722
"spambase",11,"xgboost","recall",0.856774193548387,0.857168458781362,0.866559139784946,0.816594982078853,0.816594982078853,0.875318996415771,0.857168458781362,0.867942652329749,0.83231541218638,0.868544802867384,0.841318996415771,0.857168458781362,0.865390681003584,0.813863799283154,0.813240143369176,0.89837016075594
"connect4",15,"xgboost","recall",0.587219621316461,0.587219621316461,0.599380246644583,0.589010097506937,0.587219621316461,0.587219621316461,0.587219621316461,0.599752954649794,0.590533907030747,0.58968257812374,0.593581526078366,0.587219621316461,0.599337346817705,0.589544692961763,0.589664527006484,0.932939370804819
"covtype",15,"xgboost","recall",0.666489803109484,0.655007574763862,0.650353913246756,0.600930879600026,0.624222830706432,0.657567814745183,0.655007574763862,0.643215155263525,0.611902022327156,0.602013534548934,0.666489803109484,0.655007574763862,0.65132074097795,0.600930879600026,0.624222830706432,0.627832918358991
"HIGGS",15,"xgboost","recall",0.526913343402209,0.536141185984982,0.518626106237347,0.536656897179644,0.536656897179644,0.530304977130799,0.536141185984982,0.522226106237347,0.530954710948295,0.499872998811016,0.530282421778763,0.536141185984982,0.52925551860064,0.504837669912272,0.526817706760072,0.679590202980701
"kdd",15,"xgboost","recall",0.959158114795829,0.958134379594138,0.950315497525337,0.96378935880987,0.970810980096807,0.964124387050281,0.958134379594138,0.942918073474433,0.952990757307113,0.958039301179698,0.957489099769128,0.958134379594138,0.913595291397091,0.955473341176349,0.893422743543465,0.616802625871872
"simulC2",15,"xgboost","recall",0.50109743634356,0.483661775250997,0.485216015412854,0.47233644826818,0.47233644826818,0.505781111096683,0.483661775250997,0.4801458323721,0.47790800595888,0.50711429439364,0.607368914171619,0.483661775250997,0.612485832311489,0.452700509266154,0.625214977363649,0.556568997653806
"simulC8",15,"xgboost","recall",0.453868638781577,0.403182389314212,0.437276750691398,0.222637259686374,0.386924699627362,0.454033914931054,0.403182389314212,0.441845501476333,0.214796263925668,0.41550779569696,0.564506089196557,0.403182389314212,0.543806596122691,0.239497012768884,0.503298839810209,0.709704510860722
